title,path_parent,modality_key,modality_name,total_images,accuracy
RHand • Data_V1 • 3_Class • Clean • uncropped • Infrared,/Users/metehanzorluoglu/tissue pefusion/Confusion_Matrix/RHand/Data_V1/3_Class/Clean/uncropped,ir,Infrared,480,0.395833
RHand • Data_V1 • 3_Class • Clean • uncropped • Thermal,/Users/metehanzorluoglu/tissue pefusion/Confusion_Matrix/RHand/Data_V1/3_Class/Clean/uncropped,th,Thermal,480,0.335417
RHand • Data_V1 • 3_Class • Clean • uncropped • Vision,/Users/metehanzorluoglu/tissue pefusion/Confusion_Matrix/RHand/Data_V1/3_Class/Clean/uncropped,vi,Vision,480,0.645833
RHand • Data_V1 • 3_Class • Clean • uncropped • Late Fusion,/Users/metehanzorluoglu/tissue pefusion/Confusion_Matrix/RHand/Data_V1/3_Class/Clean/uncropped,lf,Late Fusion,480,0.45625
RHand • Data_V1 • 3_Class • Clean • Cropped • Infrared,/Users/metehanzorluoglu/tissue pefusion/Confusion_Matrix/RHand/Data_V1/3_Class/Clean/Cropped,ir,Infrared,480,0.297917
RHand • Data_V1 • 3_Class • Clean • Cropped • Thermal,/Users/metehanzorluoglu/tissue pefusion/Confusion_Matrix/RHand/Data_V1/3_Class/Clean/Cropped,th,Thermal,480,0.489583
RHand • Data_V1 • 3_Class • Clean • Cropped • Vision,/Users/metehanzorluoglu/tissue pefusion/Confusion_Matrix/RHand/Data_V1/3_Class/Clean/Cropped,vi,Vision,480,0.25
RHand • Data_V1 • 3_Class • Clean • Cropped • Late Fusion,/Users/metehanzorluoglu/tissue pefusion/Confusion_Matrix/RHand/Data_V1/3_Class/Clean/Cropped,lf,Late Fusion,480,0.752083
RHand • Data_V1 • 4_Class • NonClean • Uncropped • Infrared,/Users/metehanzorluoglu/tissue pefusion/Confusion_Matrix/RHand/Data_V1/4_Class/NonClean/Uncropped,ir,Infrared,719,0.319889
RHand • Data_V1 • 4_Class • NonClean • Uncropped • Thermal,/Users/metehanzorluoglu/tissue pefusion/Confusion_Matrix/RHand/Data_V1/4_Class/NonClean/Uncropped,th,Thermal,719,0.602225
RHand • Data_V1 • 4_Class • NonClean • Uncropped • Vision,/Users/metehanzorluoglu/tissue pefusion/Confusion_Matrix/RHand/Data_V1/4_Class/NonClean/Uncropped,vi,Vision,719,0.496523
RHand • Data_V1 • 4_Class • NonClean • Uncropped • Late Fusion,/Users/metehanzorluoglu/tissue pefusion/Confusion_Matrix/RHand/Data_V1/4_Class/NonClean/Uncropped,lf,Late Fusion,719,0.584145
RHand • Data_V1 • 4_Class • NonClean • Cropped • Infrared,/Users/metehanzorluoglu/tissue pefusion/Confusion_Matrix/RHand/Data_V1/4_Class/NonClean/Cropped,ir,Infrared,719,0.310153
RHand • Data_V1 • 4_Class • NonClean • Cropped • Thermal,/Users/metehanzorluoglu/tissue pefusion/Confusion_Matrix/RHand/Data_V1/4_Class/NonClean/Cropped,th,Thermal,719,0.585535
RHand • Data_V1 • 4_Class • NonClean • Cropped • Vision,/Users/metehanzorluoglu/tissue pefusion/Confusion_Matrix/RHand/Data_V1/4_Class/NonClean/Cropped,vi,Vision,719,0.411683
RHand • Data_V1 • 4_Class • NonClean • Cropped • Late Fusion,/Users/metehanzorluoglu/tissue pefusion/Confusion_Matrix/RHand/Data_V1/4_Class/NonClean/Cropped,lf,Late Fusion,719,0.664812
RHand • Data_V1 • 4_Class • Clean • Cropped • Infrared,/Users/metehanzorluoglu/tissue pefusion/Confusion_Matrix/RHand/Data_V1/4_Class/Clean/Cropped,ir,Infrared,719,0.418637
